peduc,age,labor,tenure,agegrp,tenuregrp,college,working,wage
graduate,42,.79517531,6,40-49,4-7,yes,yes,30.97
high school or equivalent,42,-.17828768,4,40-49,4-7,no,yes,17.26
college,65,-.7532078,6,60 up,4-7,yes,yes,29.51
doctorate,42,.55316913,7,40-49,4-7,yes,yes,27.49
high school or equivalent,35,.40730602,3,30-39,0-3,no,yes,20.86
graduate,47,2.2447889,8,40-49,8 up,yes,yes,27.7
high school or equivalent,30,2.8626225,5,30-39,4-7,yes,yes,28.68
high school or equivalent,68,-3.5969484,3,60 up,0-3,yes,yes,27.11
graduate,55,7.5066109,15,50-59,8 up,yes,yes,33.44
high school or equivalent,45,-2.0411358,2,40-49,0-3,no,yes,20.88
college,29,-.97610807,2,20-29,0-3,no,yes,20.57
college,25,.16532739,3,20-29,0-3,yes,yes,17.18
high school or equivalent,66,1.3951143,7,60 up,4-7,no,no,24.87
high school or equivalent,63,.64211708,6,60 up,4-7,no,yes,16.83
college,21,-2.7122018,1,20-29,0-3,yes,yes,13.74
high school or equivalent,25,1.2239398,3,20-29,0-3,no,yes,17.49
college,67,.2051079,7,60 up,4-7,yes,yes,28.74
high school or equivalent,56,.82688713,6,50-59,4-7,no,yes,22.31
high school or equivalent,38,-3.6115646,0,30-39,0-3,yes,yes,24.65
high school or equivalent,32,-.83723986,2,30-39,0-3,yes,yes,24.24
college,26,-.16760299,3,20-29,0-3,yes,yes,22.75
high school or equivalent,22,.075568631,2,20-29,0-3,no,yes,13.67
graduate,26,2.3542104,6,20-29,4-7,yes,yes,24.05
college,27,-3.2826717,1,20-29,0-3,no,no,14.58
high school or equivalent,68,.1773437,6,60 up,4-7,no,yes,23.9
college,37,.64705539,5,30-39,4-7,yes,yes,23.16
graduate,27,.83425534,5,20-29,4-7,no,no,15.44
high school or equivalent,50,-3.0729301,1,50-59,0-3,no,yes,15.86
college,39,.65027994,5,30-39,4-7,yes,yes,24.45
college,35,-1.0121601,3,30-39,0-3,no,yes,14.83
graduate,48,.18546586,6,40-49,4-7,no,no,16.27
high school or equivalent,41,-.61448181,3,40-49,0-3,no,yes,21.58
high school or equivalent,67,-.70314914,5,60 up,4-7,no,yes,18.97
college,48,-2.2589452,3,40-49,0-3,no,yes,17.99
college,50,2.3941045,8,50-59,8 up,no,yes,15.61
graduate,43,-4.0956845,2,40-49,0-3,yes,no,24.5
college,25,.44788378,3,20-29,0-3,yes,yes,21.63
college,62,4.3419709,11,60 up,8 up,no,yes,23.12
graduate,25,-2.5257657,2,20-29,0-3,yes,yes,17.29
college,38,-1.2043935,3,30-39,0-3,no,yes,16.17
college,46,-2.9235163,2,40-49,0-3,no,no,16.13
college,59,-2.0361931,4,50-59,4-7,no,yes,21.08
graduate,26,-.39857769,4,20-29,4-7,yes,yes,21.88
graduate,23,-.78577304,3,20-29,0-3,no,no,12.51
doctorate,40,-1.1872597,5,40-49,4-7,yes,yes,22.35
college,72,-.27234229,7,60 up,4-7,yes,no,30.16
college,49,2.9928455,8,40-49,8 up,no,yes,19.91
high school or equivalent,28,-4.1678524,0,20-29,0-3,no,yes,15.3
high school or equivalent,51,.76298857,5,50-59,4-7,no,yes,21.27
high school or equivalent,48,-2.2447636,2,40-49,0-3,no,yes,18.91
graduate,57,1.1904222,8,50-59,8 up,no,yes,18.22
high school or equivalent,59,.66814995,6,50-59,4-7,no,yes,22.09
high school or equivalent,46,1.304777,5,40-49,4-7,no,yes,15.25
college,33,1.0178496,5,30-39,4-7,yes,yes,23.29
college,44,1.0997491,6,40-49,4-7,no,yes,22.02
graduate,35,-.26319432,5,30-39,4-7,yes,yes,22.22
graduate,49,-2.183162,4,40-49,4-7,yes,yes,27.87
high school or equivalent,28,-1.4916468,1,20-29,0-3,no,yes,19
graduate,46,1.2706426,7,40-49,4-7,yes,yes,25.33
college,49,-.94763619,4,40-49,4-7,no,yes,16.91
college,50,-.66758442,5,50-59,4-7,no,yes,18.59
college,33,1.0698359,5,30-39,4-7,no,yes,13.79
high school or equivalent,57,-1.853675,3,50-59,0-3,yes,yes,28.68
college,32,-1.0161765,3,30-39,0-3,yes,yes,23.97
college,33,2.5681248,6,30-39,4-7,yes,yes,22.69
college,41,-1.5564249,3,40-49,0-3,yes,yes,23.84
college,44,1.6996748,7,40-49,4-7,no,yes,16.75
high school or equivalent,39,1.4878259,5,30-39,4-7,no,yes,17.13
graduate,52,-.074246272,7,50-59,4-7,no,yes,18.64
high school or equivalent,29,.94668657,3,20-29,0-3,yes,yes,22.6
graduate,49,-.84614486,6,40-49,4-7,no,yes,22.79
high school or equivalent,22,.82499593,2,20-29,0-3,no,no,12.21
college,74,-2.0259306,6,60 up,4-7,yes,no,31.5
college,68,-2.046104,5,60 up,4-7,no,no,18.29
college,41,1.2510903,6,40-49,4-7,yes,yes,23.19
college,23,.74823129,3,20-29,0-3,yes,yes,17.01
high school or equivalent,23,-.49137339,1,20-29,0-3,no,yes,18.12
college,23,-2.8558741,1,20-29,0-3,yes,yes,17.55
high school or equivalent,69,1.5586096,8,60 up,8 up,no,no,17.37
graduate,37,.40895173,6,30-39,4-7,yes,yes,32.01
college,43,1.6746109,6,40-49,4-7,yes,yes,27.47
college,39,4.3151937,9,30-39,8 up,yes,yes,29.63
college,20,-.96467036,0,20-29,0-3,no,no,11.87
high school or equivalent,39,-3.0409262,0,30-39,0-3,no,yes,13.78
graduate,50,1.2386484,8,50-59,8 up,no,yes,20.48
college,52,.12244143,6,50-59,4-7,no,yes,22.13
high school or equivalent,39,-1.4079,2,30-39,0-3,no,yes,21.39
graduate,50,1.0308617,8,50-59,8 up,yes,yes,30.19
high school or equivalent,49,.022420999,4,40-49,4-7,no,yes,15.83
high school or equivalent,35,.60420835,4,30-39,4-7,no,yes,21.15
college,74,-1.578475,6,60 up,4-7,yes,no,28.66
college,38,-.36609265,4,30-39,4-7,no,yes,17.64
high school or equivalent,63,-.29641604,6,60 up,4-7,no,yes,20.5
college,33,.49995479,4,30-39,4-7,no,no,18.78
high school or equivalent,40,-.21506754,3,40-49,0-3,no,no,23.88
college,41,1.6635273,6,40-49,4-7,yes,yes,26.72
high school or equivalent,20,-2.4482543,0,20-29,0-3,no,yes,11.71
high school or equivalent,61,.12726502,6,60 up,4-7,no,no,19.32
high school or equivalent,42,1.8852538,6,40-49,4-7,no,yes,21.09
college,44,2.8282602,8,40-49,8 up,yes,yes,33.34
college,30,-.77666223,3,30-39,0-3,yes,yes,25.16
graduate,22,.39211854,2,20-29,0-3,yes,yes,17.04
high school or equivalent,45,4.9475775,9,40-49,8 up,no,yes,21.68
high school or equivalent,50,-.22397043,4,50-59,4-7,no,yes,17.98
college,23,-1.1148605,2,20-29,0-3,no,no,10.76
high school or equivalent,63,.77064794,7,60 up,4-7,no,yes,23.92
high school or equivalent,44,-1.7713996,2,40-49,0-3,no,yes,14.63
college,28,1.286389,5,20-29,4-7,yes,yes,24.59
high school or equivalent,51,.4375982,5,50-59,4-7,no,no,21.14
doctorate,33,.31285569,6,30-39,4-7,yes,yes,24.06
college,24,1.8844259,4,20-29,4-7,no,yes,14.96
college,61,.68793005,7,60 up,4-7,yes,yes,25.74
graduate,53,1.4054164,8,50-59,8 up,yes,yes,34.83
college,24,-2.9322701,1,20-29,0-3,yes,yes,20.7
doctorate,41,.1678586,7,40-49,4-7,no,yes,13.97
college,51,-.020034777,6,50-59,4-7,no,yes,23.52
college,37,-1.6515814,3,30-39,0-3,no,no,16.94
high school or equivalent,33,-3.7971404,0,30-39,0-3,no,yes,19.12
college,33,-.036404807,4,30-39,4-7,yes,yes,20.82
graduate,26,-1.9929234,2,20-29,0-3,yes,no,19.6
high school or equivalent,27,1.9780543,4,20-29,4-7,no,yes,15.99
graduate,49,-3.6181407,3,40-49,0-3,yes,yes,25.47
college,53,1.598074,7,50-59,4-7,yes,yes,24.96
college,51,-1.0171076,5,50-59,4-7,yes,yes,29.33
high school or equivalent,29,-.21860965,2,20-29,0-3,no,no,12.74
high school or equivalent,37,-.70391911,2,30-39,0-3,no,yes,17.26
high school or equivalent,22,.98024303,2,20-29,0-3,no,no,13.78
high school or equivalent,20,.3183763,0,20-29,0-3,no,yes,16.7
college,42,.86092424,6,40-49,4-7,yes,yes,30.53
high school or equivalent,34,.87445027,4,30-39,4-7,no,yes,15.47
high school or equivalent,30,-2.1889529,0,30-39,0-3,no,no,14.61
college,41,-.53327668,4,40-49,4-7,no,yes,19.22
high school or equivalent,74,-.42233294,6,60 up,4-7,yes,yes,32.4
high school or equivalent,36,.94877404,4,30-39,4-7,yes,yes,20.08
college,21,.46561575,1,20-29,0-3,yes,yes,14.34
graduate,58,-.39172938,7,50-59,4-7,yes,no,30.83
high school or equivalent,50,-.15622416,4,50-59,4-7,no,yes,21
college,39,1.034875,5,30-39,4-7,no,yes,20.47
high school or equivalent,40,3.1685717,7,40-49,4-7,no,yes,15.33
graduate,40,-.95704263,5,40-49,4-7,no,yes,16.76
high school or equivalent,36,-3.0433538,0,30-39,0-3,yes,yes,25.16
high school or equivalent,51,1.7565414,6,50-59,4-7,no,yes,18.97
high school or equivalent,33,.16988736,3,30-39,0-3,no,no,17.28
college,26,1.0155002,4,20-29,4-7,yes,yes,18.02
graduate,36,1.7667149,7,30-39,4-7,no,no,15.65
college,49,-2.3582006,3,40-49,0-3,yes,yes,25.5
high school or equivalent,68,-2.1437387,4,60 up,4-7,no,yes,20.04
high school or equivalent,68,-1.5908451,5,60 up,4-7,no,no,21.03
high school or equivalent,24,-1.4385601,0,20-29,0-3,yes,yes,18.97
high school or equivalent,23,-1.2704029,1,20-29,0-3,no,yes,17.15
high school or equivalent,33,3.0214911,6,30-39,4-7,no,yes,20.4
high school or equivalent,32,-2.5703013,0,30-39,0-3,yes,yes,20.83
college,29,.52393103,4,20-29,4-7,no,yes,18.43
high school or equivalent,49,-2.3277898,2,40-49,0-3,no,yes,18.96
college,59,.43493,7,50-59,4-7,no,yes,19.82
college,55,4.6662021,11,50-59,8 up,no,yes,17.68
college,64,-.50512391,6,60 up,4-7,yes,yes,27.52
graduate,55,2.4928689,9,50-59,8 up,yes,yes,26.85
college,34,.40646872,4,30-39,4-7,yes,yes,24.78
high school or equivalent,35,-.79447579,2,30-39,0-3,no,yes,17.36
graduate,43,.57788593,6,40-49,4-7,no,no,18.16
college,62,-1.861745,5,60 up,4-7,no,yes,21.88
college,45,2.3201263,7,40-49,4-7,no,yes,17.77
high school or equivalent,37,.58918267,4,30-39,4-7,no,yes,18.91
college,22,.54044992,2,20-29,0-3,no,no,11.84
graduate,51,.7330029,7,50-59,4-7,yes,yes,26.83
graduate,42,3.5036769,9,40-49,8 up,yes,yes,29.38
high school or equivalent,36,2.1248801,5,30-39,4-7,yes,yes,23.56
college,20,-1.7064974,0,20-29,0-3,no,yes,14.26
college,50,1.8232372,7,50-59,4-7,yes,yes,30.62
high school or equivalent,56,2.3510497,7,50-59,4-7,yes,yes,27.87
graduate,31,3.5605247,8,30-39,8 up,yes,yes,22.7
college,49,.20639248,6,40-49,4-7,yes,yes,28.93
high school or equivalent,56,2.5934672,8,50-59,8 up,no,yes,18.71
college,71,-6.9354496,1,60 up,0-3,yes,no,28.71
college,72,1.822016,10,60 up,8 up,no,yes,19.12
college,44,.88774407,6,40-49,4-7,no,yes,15.3
high school or equivalent,62,-.31791973,5,60 up,4-7,no,no,18.85
high school or equivalent,44,-.8608768,3,40-49,0-3,no,yes,16.01
high school or equivalent,58,.50213426,6,50-59,4-7,no,yes,23.16
college,38,2.7605758,7,30-39,4-7,no,yes,19.4
college,64,-2.6535172,4,60 up,4-7,no,yes,19.81
college,74,-3.3937521,5,60 up,4-7,yes,no,31.28
high school or equivalent,37,-.24408761,3,30-39,0-3,no,yes,19.13
college,74,-1.947018,6,60 up,4-7,yes,no,30.7
high school or equivalent,37,-1.7642179,1,30-39,0-3,yes,yes,27.4
high school or equivalent,47,.57086009,5,40-49,4-7,no,yes,20.29
high school or equivalent,31,.66498047,3,30-39,0-3,no,yes,15.02
college,27,-.33073929,3,20-29,0-3,yes,yes,20.28
high school or equivalent,50,-1.889261,3,50-59,0-3,no,no,15.15
college,31,-1.5709393,2,30-39,0-3,yes,yes,23.76
high school or equivalent,22,-.93591809,1,20-29,0-3,no,no,15.17
graduate,70,-1.8255607,7,60 up,4-7,yes,yes,29
high school or equivalent,42,-.99770498,3,40-49,0-3,no,yes,16.89
college,32,-.99920148,3,30-39,0-3,no,no,17.01
college,60,-1.9836769,5,60 up,4-7,yes,yes,33.17
graduate,36,2.9912605,8,30-39,8 up,no,yes,21.17
college,38,-1.1728476,3,30-39,0-3,no,yes,14.74
graduate,20,-.85719663,0,20-29,0-3,yes,yes,16.82
high school or equivalent,73,.66942078,7,60 up,4-7,no,no,20.95
high school or equivalent,30,.28054926,3,30-39,0-3,yes,no,21.73
college,33,-.8476789,3,30-39,0-3,no,yes,18.17
high school or equivalent,47,.40895441,5,40-49,4-7,no,yes,22.86
college,37,.30179033,5,30-39,4-7,no,no,16.23
high school or equivalent,48,-1.9042891,2,40-49,0-3,no,yes,19.5
college,21,2.2139654,1,20-29,0-3,yes,yes,20.41
high school or equivalent,37,4.1468062,7,30-39,4-7,no,yes,17.52
graduate,37,2.7435033,8,30-39,8 up,yes,yes,25.39
college,59,-5.464118,1,50-59,0-3,no,yes,21.53
high school or equivalent,67,.52449697,7,60 up,4-7,no,no,21.25
graduate,26,-1.2386922,3,20-29,0-3,no,no,8.92
graduate,28,1.8936163,6,20-29,4-7,yes,yes,20.2
graduate,38,-1.5439508,4,30-39,4-7,no,no,14.27
high school or equivalent,68,.10518126,6,60 up,4-7,no,yes,25.63
high school or equivalent,71,-.32201168,6,60 up,4-7,no,no,20.15
college,48,-1.7520372,4,40-49,4-7,yes,yes,29.22
college,39,.43361399,5,30-39,4-7,yes,yes,29.11
graduate,46,.67742127,7,40-49,4-7,no,yes,16.25
high school or equivalent,72,.21365981,7,60 up,4-7,no,no,20.46
high school or equivalent,59,-4.9672508,0,50-59,0-3,no,no,19.99
high school or equivalent,37,-.3265653,3,30-39,0-3,yes,yes,26.15
high school or equivalent,49,.98464537,5,40-49,4-7,no,yes,15.54
college,23,-.28870916,3,20-29,0-3,yes,yes,21.68
college,64,-1.6785777,5,60 up,4-7,no,no,18.7
college,73,-.28918153,8,60 up,8 up,yes,yes,35.01
college,34,.68505549,5,30-39,4-7,yes,yes,22.08
college,42,.40451908,5,40-49,4-7,no,yes,18.45
graduate,37,-.62966341,5,30-39,4-7,yes,yes,22.87
college,40,-.99823314,4,40-49,4-7,no,yes,17.72
graduate,46,1.7063384,8,40-49,8 up,yes,yes,27.07
college,28,.88601249,4,20-29,4-7,yes,yes,22.52
college,38,3.5555415,8,30-39,8 up,no,yes,21.48
college,30,3.0198505,7,30-39,4-7,yes,yes,25.8
college,48,-1.4455391,4,40-49,4-7,yes,yes,26.97
college,62,-1.3504536,5,60 up,4-7,no,no,20.22
doctorate,29,-.15320109,5,20-29,4-7,no,yes,16.13
college,28,-.33526883,3,20-29,0-3,yes,yes,20.23
graduate,34,-2.3230927,3,30-39,0-3,yes,yes,15.26
high school or equivalent,43,4.2763867,8,40-49,8 up,yes,yes,31.5
college,72,1.0318599,9,60 up,8 up,yes,no,28.67
college,30,-2.0130677,1,30-39,0-3,yes,yes,21.1
high school or equivalent,31,.089220919,3,30-39,0-3,no,yes,21.64
high school or equivalent,31,.31746307,3,30-39,0-3,no,yes,16.64
college,42,-.12355469,5,40-49,4-7,no,yes,20.8
high school or equivalent,72,-.92922056,6,60 up,4-7,yes,yes,35.67
high school or equivalent,40,-.040927865,3,40-49,0-3,no,yes,20.25
college,25,3.6743073,5,20-29,4-7,yes,yes,22.26
graduate,33,-2.5272601,2,30-39,0-3,yes,no,25.34
high school or equivalent,21,-1.557851,0,20-29,0-3,no,no,11.9
high school or equivalent,22,-.046498653,2,20-29,0-3,no,yes,19.21
college,48,.41766828,6,40-49,4-7,yes,yes,30.27
graduate,47,-2.3656631,4,40-49,4-7,no,yes,21.74
high school or equivalent,39,-.11936964,3,30-39,0-3,no,yes,14.24
high school or equivalent,44,-1.3595017,3,40-49,0-3,no,yes,15.02
high school or equivalent,36,-1.1915193,2,30-39,0-3,no,yes,18.85
college,44,1.2910696,6,40-49,4-7,yes,yes,30.48
high school or equivalent,29,-1.9686128,0,20-29,0-3,no,no,10.74
graduate,43,-.3795138,5,40-49,4-7,no,no,16.33
high school or equivalent,33,-2.3398097,0,30-39,0-3,no,no,16.33
college,40,.50557798,5,40-49,4-7,no,yes,17.92
graduate,40,4.1094151,10,40-49,8 up,yes,yes,24.04
high school or equivalent,39,.36789563,4,30-39,4-7,no,yes,17.52
high school or equivalent,26,-.23222433,2,20-29,0-3,no,yes,16.18
college,44,-.81659043,4,40-49,4-7,no,yes,19.82
graduate,54,3.0859792,10,50-59,8 up,yes,yes,29.61
graduate,50,1.9826854,8,50-59,8 up,no,yes,21.42
college,28,-1.7415251,2,20-29,0-3,no,yes,16.69
graduate,22,.64256138,2,20-29,0-3,no,no,15.35
high school or equivalent,35,-.52092755,2,30-39,0-3,no,no,16.24
college,34,-2.0047441,2,30-39,0-3,yes,yes,23.36
high school or equivalent,49,.404616,5,40-49,4-7,no,yes,23.79
high school or equivalent,48,-.24950306,4,40-49,4-7,no,yes,21.79
college,59,2.9592798,9,50-59,8 up,no,yes,20.57
graduate,74,2.5089672,11,60 up,8 up,yes,yes,34.08
college,22,.019674683,2,20-29,0-3,yes,yes,18.8
graduate,39,.93812239,6,30-39,4-7,yes,yes,26.74
graduate,68,-1.6541736,7,60 up,4-7,no,yes,17.79
graduate,28,-1.2808419,3,20-29,0-3,yes,no,22.74
high school or equivalent,42,.53698766,4,40-49,4-7,no,yes,20.71
college,26,1.7123361,5,20-29,4-7,yes,yes,18.12
high school or equivalent,39,-1.6830531,2,30-39,0-3,no,yes,20.97
college,62,-1.3655665,5,60 up,4-7,yes,yes,30.5
college,28,-2.4010153,1,20-29,0-3,yes,yes,13.39
high school or equivalent,44,1.8425502,6,40-49,4-7,yes,yes,28.24
high school or equivalent,31,-4.0235219,0,30-39,0-3,yes,yes,20.31
graduate,47,-.52552658,6,40-49,4-7,no,yes,19.31
high school or equivalent,43,-2.2410083,2,40-49,0-3,yes,yes,24.63
college,26,-2.1374114,1,20-29,0-3,no,yes,16.37
college,27,3.815388,7,20-29,4-7,yes,yes,25.4
college,22,1.0576267,2,20-29,0-3,no,yes,11.98
high school or equivalent,56,2.1619704,7,50-59,4-7,no,yes,20.18
college,72,.16713378,8,60 up,8 up,no,no,23.01
high school or equivalent,24,3.2838333,4,20-29,4-7,no,no,12.78
college,44,-2.6060967,2,40-49,0-3,no,yes,14.06
high school or equivalent,35,-3.7377226,0,30-39,0-3,yes,yes,23.65
high school or equivalent,52,-2.8733151,2,50-59,0-3,no,yes,19.78
graduate,68,1.3822944,10,60 up,8 up,yes,no,29.79
college,41,2.2033713,7,40-49,4-7,no,no,17.21
college,61,.010186766,7,60 up,4-7,yes,yes,32.5
graduate,45,-1.3625088,5,40-49,4-7,no,yes,14.46
graduate,35,-1.2433337,4,30-39,4-7,yes,yes,26.3
graduate,31,-2.2466955,2,30-39,0-3,no,no,17.43
college,56,-3.5017221,3,50-59,0-3,no,yes,17.98
college,71,.35220152,8,60 up,8 up,no,no,18.19
graduate,20,2.0916381,0,20-29,0-3,yes,yes,13.3
high school or equivalent,21,.8545745,1,20-29,0-3,no,no,17.26
high school or equivalent,67,2.298279,8,60 up,8 up,no,yes,22.57
college,21,.13065583,1,20-29,0-3,yes,yes,22.67
high school or equivalent,33,2.3284647,5,30-39,4-7,no,no,21.76
high school or equivalent,40,-.12851077,3,40-49,0-3,no,yes,15.66
high school or equivalent,74,-2.6994498,4,60 up,4-7,no,no,19.12
graduate,29,-.59607613,4,20-29,4-7,yes,yes,20.93
doctorate,52,.11050043,8,50-59,8 up,yes,yes,30.03
high school or equivalent,74,-.075635083,7,60 up,4-7,no,no,20.24
college,41,2.8919005,7,40-49,4-7,no,yes,21.72
high school or equivalent,35,-.99323702,2,30-39,0-3,no,no,15.88
college,39,1.385752,6,30-39,4-7,yes,yes,30
college,30,.79688859,4,30-39,4-7,yes,yes,23.88
college,34,2.035213,6,30-39,4-7,no,yes,17.36
college,33,.045321696,4,30-39,4-7,yes,yes,26.25
college,40,.96236718,5,40-49,4-7,no,yes,15.91
high school or equivalent,26,-2.3915777,0,20-29,0-3,no,yes,18.52
college,32,2.0263627,6,30-39,4-7,no,yes,17.79
doctorate,44,3.9035966,11,40-49,8 up,no,yes,19.27
high school or equivalent,31,1.0607002,4,30-39,4-7,no,yes,20.16
college,30,-.64813459,3,30-39,0-3,yes,yes,20.8
college,36,-1.8092896,2,30-39,0-3,no,yes,21.74
high school or equivalent,54,1.1446501,6,50-59,4-7,no,no,21.66
high school or equivalent,47,.80372608,5,40-49,4-7,yes,yes,25.56
college,35,-1.0699847,3,30-39,0-3,no,no,14.34
graduate,31,3.0921392,8,30-39,8 up,yes,yes,24.85
graduate,48,-.80218494,5,40-49,4-7,no,yes,16.35
high school or equivalent,68,-.96069396,5,60 up,4-7,no,no,18.2
high school or equivalent,68,.73263264,7,60 up,4-7,no,no,18.98
high school or equivalent,28,.4361977,3,20-29,0-3,no,yes,19.46
college,60,2.0853736,9,60 up,8 up,no,yes,19.48
college,28,-.10543728,3,20-29,0-3,yes,yes,21.03
high school or equivalent,46,-.26859212,4,40-49,4-7,no,no,11.84
high school or equivalent,59,-2.1556051,3,50-59,0-3,no,yes,24.1
high school or equivalent,67,-3.9553845,2,60 up,0-3,yes,yes,34.54
college,24,-.75422043,2,20-29,0-3,yes,yes,21.01
college,23,-1.9787498,1,20-29,0-3,yes,yes,15.52
high school or equivalent,48,-.063380003,4,40-49,4-7,yes,yes,29.92
high school or equivalent,60,-2.6727591,3,60 up,0-3,no,yes,18.59
high school or equivalent,74,-1.763306,5,60 up,4-7,no,no,17.99
graduate,48,.043599863,6,40-49,4-7,no,yes,16.47
college,67,.77033007,8,60 up,8 up,yes,yes,30.33
high school or equivalent,72,.60970438,7,60 up,4-7,no,no,18.59
college,22,1.8407695,2,20-29,0-3,no,yes,13.52
college,49,-.36196485,5,40-49,4-7,no,yes,13.91
high school or equivalent,21,1.7837988,1,20-29,0-3,no,yes,16.48
high school or equivalent,51,-4.7799559,0,50-59,0-3,no,no,12.22
college,53,-3.0760405,3,50-59,0-3,yes,yes,28.55
high school or equivalent,22,.036969185,2,20-29,0-3,no,yes,16.19
graduate,20,2.3352225,0,20-29,0-3,yes,yes,16.82
high school or equivalent,36,1.3624545,4,30-39,4-7,no,yes,21.1
college,56,-2.3460064,4,50-59,4-7,yes,no,25.4
high school or equivalent,53,-4.77916,0,50-59,0-3,no,yes,18.39
high school or equivalent,22,-.21865769,1,20-29,0-3,no,yes,19.02
college,51,1.2971911,7,50-59,4-7,yes,yes,31.06
college,39,.83511686,5,30-39,4-7,yes,yes,24.92
high school or equivalent,26,-.19526824,2,20-29,0-3,no,yes,17.19
college,30,1.0740337,5,30-39,4-7,yes,yes,21.54
high school or equivalent,41,1.4964436,5,40-49,4-7,no,yes,17.61
college,33,1.9347321,6,30-39,4-7,no,yes,17.75
college,37,-.34627065,4,30-39,4-7,yes,yes,24.89
college,51,1.5590857,7,50-59,4-7,yes,yes,29.11
college,20,-.81026816,0,20-29,0-3,no,no,11.88
high school or equivalent,41,.12757733,4,40-49,4-7,yes,yes,25.22
graduate,20,.83868903,0,20-29,0-3,yes,yes,14.57
high school or equivalent,41,.9115988,5,40-49,4-7,yes,yes,31.6
college,36,2.996294,7,30-39,4-7,yes,yes,26.67
college,22,-.44522762,2,20-29,0-3,no,yes,15.38
high school or equivalent,65,.51826012,7,60 up,4-7,no,yes,21.06
college,73,2.8744104,11,60 up,8 up,yes,yes,30.98
graduate,68,1.3151548,10,60 up,8 up,no,no,17.94
college,27,-.24059641,3,20-29,0-3,yes,yes,18.35
graduate,31,-1.2880762,3,30-39,0-3,yes,yes,21.02
graduate,37,-.70630139,4,30-39,4-7,no,yes,15.59
high school or equivalent,38,-1.0205597,2,30-39,0-3,no,yes,17.04
high school or equivalent,36,1.8120974,5,30-39,4-7,yes,yes,21.81
high school or equivalent,33,-2.0156882,1,30-39,0-3,no,yes,12.3
graduate,41,-3.0792572,3,40-49,0-3,yes,yes,26.24
college,43,-.013997619,5,40-49,4-7,no,yes,19.87
college,27,.94034082,4,20-29,4-7,yes,yes,23.64
graduate,31,2.2079959,7,30-39,4-7,no,yes,18.72
graduate,58,-.92695045,6,50-59,4-7,yes,yes,26.81
high school or equivalent,22,-3.650358,0,20-29,0-3,yes,yes,16.27
college,36,2.1403458,6,30-39,4-7,no,yes,21.87
high school or equivalent,22,-1.6375813,0,20-29,0-3,no,yes,16.81
college,41,.13158946,5,40-49,4-7,no,yes,19.51
doctorate,36,-2.3783,4,30-39,4-7,yes,yes,25.17
college,21,1.8253636,1,20-29,0-3,yes,yes,19.15
graduate,71,2.5971651,11,60 up,8 up,no,no,20.93
